"COREAD","ESCA","HEALTHY","LIHC","NSCLC","PACA","STAD","split_name","train_early_percentage","test_early_percentage","MFR_train_auc","MFR_test_auc","FSI_train_auc","FSI_test_auc","CAFF_train_auc","CAFF_test_auc","FEM_train_auc","FEM_test_auc","Cancer_prob_train_auc","Cancer_prob_test_auc"
2,4,3,6,5,3,5,"split_94",0.339468302658487,0.36426116838488,0.937,0.913,0.939,0.864,0.859,0.829,0.966,0.857,0.98,0.912
5,4,3,6,5,3,5,"split_95",0.345755693581781,0.353535353535354,0.935,0.91,0.926,0.872,0.864,0.822,0.966,0.852,0.979,0.912
6,4,3,6,5,3,5,"split_96",0.335632183908046,0.365217391304348,0.937,0.911,0.92,0.877,0.859,0.832,0.963,0.863,0.976,0.922
2,3,2,1,2,6,5,"split_97",0.322097378277154,0.40650406504065,0.943,0.853,0.921,0.886,0.83,0.84,0.983,0.739,0.989,0.84
5,3,2,1,2,6,5,"split_98",0.327651515151515,0.392857142857143,0.945,0.862,0.924,0.891,0.833,0.833,0.982,0.752,0.99,0.848
6,3,2,1,2,6,5,"split_99",0.316666666666667,0.4,0.944,0.871,0.916,0.899,0.83,0.837,0.98,0.789,0.989,0.873
2,4,2,1,2,6,5,"split_100",0.349112426035503,0.347985347985348,0.935,0.881,0.918,0.897,0.817,0.862,0.982,0.766,0.988,0.865
5,4,2,1,2,6,5,"split_101",0.355289421157685,0.336917562724014,0.934,0.889,0.924,0.903,0.82,0.855,0.982,0.783,0.988,0.877
6,4,2,1,2,6,5,"split_102",0.346578366445916,0.351681957186544,0.935,0.896,0.917,0.906,0.817,0.856,0.979,0.815,0.987,0.895
2,3,3,1,2,6,5,"split_103",0.322097378277154,0.40650406504065,0.95,0.868,0.923,0.892,0.852,0.843,0.977,0.851,0.985,0.904
5,3,3,1,2,6,5,"split_104",0.327651515151515,0.392857142857143,0.947,0.869,0.921,0.894,0.857,0.834,0.977,0.863,0.985,0.91
6,3,3,1,2,6,5,"split_105",0.316666666666667,0.4,0.945,0.877,0.927,0.902,0.851,0.844,0.972,0.88,0.983,0.926
2,4,3,1,2,6,5,"split_106",0.349112426035503,0.347985347985348,0.94,0.889,0.916,0.897,0.841,0.863,0.975,0.874,0.983,0.921
5,4,3,1,2,6,5,"split_107",0.355289421157685,0.336917562724014,0.939,0.891,0.919,0.898,0.846,0.855,0.978,0.869,0.985,0.918
6,4,3,1,2,6,5,"split_108",0.346578366445916,0.351681957186544,0.934,0.897,0.927,0.903,0.838,0.861,0.97,0.887,0.979,0.93
2,3,2,6,2,6,5,"split_109",0.401069518716578,0.214611872146119,0.94,0.898,0.918,0.906,0.82,0.866,0.969,0.885,0.983,0.93
